"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.226982217889772,0.221084614691196,0.094,0.09,1,"APEH"
0.227083528342502,0.457125072102866,0.011,0.009,1,"ETF1P2"
0.227243657363353,0.208936456417361,0.059,0.054,1,"PPOX"
0.227505944429398,-0.130515171453554,0.019,0.023,1,"CYB5RL"
0.227516455471991,0.330932739503475,0.024,0.02,1,"BICRA"
0.22810901361122,0.250077950151702,0.073,0.068,1,"RAD51-AS1"
0.228604526774992,0.232422691044526,0.02,0.017,1,"PKNOX2"
0.228657681670163,0.392457271927099,0.01,0.007,1,"INPP5D"
0.228674501013096,0.208930784836445,0.119,0.117,1,"TRAP1"
0.229454941332596,0.289601575902628,0.041,0.037,1,"TARS2"
0.230005853813193,0.149911262650779,0.13,0.128,1,"MRPL37"
0.230232356811453,0.22925725535088,0.064,0.059,1,"FOXRED1"
0.230751266408344,0.163855717257076,0.13,0.127,1,"MAVS"
0.231211853556445,0.222571522595944,0.072,0.067,1,"MRPL39"
0.231514310632093,-0.106476763485077,0.053,0.06,1,"TRAFD1"
0.231603504432919,-0.185293785550095,0.016,0.019,1,"C7orf31"
0.232083064531975,0.16501492872409,0.153,0.15,1,"RNF168"
0.232651873332535,0.303618266504805,0.028,0.024,1,"SMYD2"
0.232744060559785,0.158295706332005,0.1,0.095,1,"ARHGAP26"
0.232922130841755,-0.217401648166667,0.011,0.014,1,"ZNF222"
0.234251464405735,-0.129403694801609,0.473,0.502,1,"MYADM"
0.234372405221553,0.144359769288954,0.14,0.138,1,"ABI1"
0.234414835567787,0.305444618948135,0.052,0.047,1,"KIAA1147"
0.235120415076011,-0.225445668675431,0.015,0.018,1,"AC015799.1"
0.235197941955463,0.236812168919008,0.05,0.045,1,"INTS8"
0.235214535305059,0.155085568899549,0.148,0.146,1,"NACC2"
0.235504336291162,0.243492785010861,0.054,0.049,1,"DNAJC16"
0.235549531589671,0.404524966164506,0.012,0.01,1,"RSPO3"
0.23614415725466,0.219478841531571,0.096,0.092,1,"ZFP90"
0.236519730395523,0.266332751421748,0.045,0.041,1,"RCC2"
0.237224830512379,0.292001182864477,0.038,0.034,1,"PPM1D"
0.238436493745665,0.239857274140338,0.092,0.088,1,"ZC3H8"
0.238453792006967,0.285355805012857,0.051,0.047,1,"SETDB2"
0.238547140435397,0.257546343024134,0.048,0.043,1,"SUOX"
0.238835856469087,0.189031183590854,0.078,0.073,1,"POLM"
0.238891312685606,-0.145842584542876,0.026,0.031,1,"ZBED8"
0.239231711885041,0.287356801363415,0.051,0.046,1,"KBTBD6"
0.239236313668041,0.367810473723025,0.012,0.01,1,"AL390879.1"
0.239921538137904,0.287312568914061,0.02,0.016,1,"RNF144A"
0.240561820459725,0.180918319053313,0.039,0.035,1,"HMOX1"
0.240700570197945,0.447161054865202,0.01,0.008,1,"LAMTOR5-AS1"
0.240738968000727,0.148462680063403,0.084,0.079,1,"NUP98"
0.241249143775109,0.264728408255611,0.067,0.063,1,"PRPF39"
0.242303965208944,0.142918452545955,0.141,0.137,1,"MIR4435-2HG"
0.242805432029697,0.375250135237542,0.02,0.016,1,"C2orf81"
0.243290136146078,0.242597469502726,0.092,0.088,1,"LIAS"
0.243725759383229,0.298278770696307,0.028,0.024,1,"ZNF212"
0.24420223000235,-0.166545856055414,0.018,0.022,1,"ZNF764"
0.244603924673458,0.161604197776959,0.109,0.105,1,"MAP3K4"
0.244864286029681,-0.117373012692783,0.029,0.034,1,"ZNF546"
0.245391962793349,0.162848415404009,0.16,0.159,1,"EXOC1"
0.245710163242393,0.365478740176848,0.021,0.018,1,"PPM1J"
0.2461676353166,0.107750447355955,0.274,0.28,1,"RERE"
0.247400985680403,0.196811965156263,0.053,0.048,1,"TMEM161B"
0.247412005834979,0.276309535921726,0.076,0.071,1,"WDR36"
0.248084937578791,0.145769006572744,0.132,0.131,1,"RNF214"
0.248533840578408,-0.103062731068105,0.033,0.038,1,"CACNB1"
0.248557284615575,-0.147210213509149,0.031,0.036,1,"SMYD5"
0.248683014587604,-0.281274861555571,0.009,0.011,1,"AL354893.1"
0.249076261912845,0.395018896357601,0.013,0.01,1,"LRRC20"
0.249292816253788,-0.111237360370366,0.033,0.038,1,"IPO11"
0.250253795269124,0.221262168620827,0.033,0.029,1,"INTS6-AS1"
0.251205630703297,-0.101515282512522,0.025,0.03,1,"IFT140"
0.251354232229069,-0.208925673228105,0.017,0.02,1,"ZBTB39"
0.251875211569043,0.404651514237217,0.013,0.01,1,"CDR1"
0.252001534097894,-0.230731986665224,0.018,0.021,1,"LRP11"
0.25229758404808,-0.282852657396861,0.01,0.012,1,"IQCD"
0.252344464980483,-0.222825235701579,0.014,0.018,1,"ZNF461"
0.25309906519974,0.253460301171731,0.05,0.045,1,"NUP43"
0.253514125923076,-0.234876892630742,0.013,0.016,1,"KIAA1522"
0.253523522773123,0.209994933301982,0.098,0.094,1,"MAP1S"
0.2536993290062,0.480674618995276,0.014,0.011,1,"ZNF879"
0.254023967655056,0.379973796960639,0.027,0.023,1,"AC006942.1"
0.254148557615646,-0.137843686696003,0.033,0.038,1,"MTA2"
0.25485057838722,-0.206079272619673,0.017,0.02,1,"ZSCAN16"
0.254965871630407,-0.153968286534929,0.018,0.021,1,"PITPNM2"
0.25554368521854,0.28048916817276,0.04,0.036,1,"DENND4B"
0.255650913843399,0.413343635089871,0.016,0.013,1,"MIR4453HG"
0.255801285222492,0.171582068023974,0.149,0.148,1,"NOC2L"
0.255830699464152,-0.168060250166795,0.019,0.023,1,"SPICE1"
0.256225184133949,0.382695330599513,0.013,0.011,1,"SH3BP5-AS1"
0.256411973265204,-0.161684250539921,0.017,0.02,1,"SEC61A2"
0.256974155471745,0.191801110171125,0.062,0.058,1,"GTF3C2"
0.257062234676773,0.290471678884349,0.04,0.036,1,"ZNF584"
0.257541991604122,0.129404374851421,0.164,0.164,1,"GRSF1"
0.25773853126516,0.513462844927344,0.01,0.007,1,"IDO1"
0.258405949480228,-0.137546710404481,0.012,0.015,1,"PRKAG2-AS1"
0.258703544757422,0.150883791326861,0.114,0.11,1,"CCM2"
0.25882694218125,0.165184858109293,0.142,0.142,1,"SRFBP1"
0.258959945213521,0.426109766911266,0.014,0.011,1,"RF00100.4"
0.259036127570544,0.18154740603367,0.128,0.126,1,"IARS"
0.259043675006411,0.321175120067219,0.044,0.039,1,"ASTE1"
0.259344964202685,0.120217662265082,0.172,0.17,1,"SAFB2"
0.260437354764199,0.174031450142019,0.165,0.165,1,"CASP8AP2"
0.260501968548381,0.167081194912524,0.114,0.111,1,"GNPTAB"
