"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.0001469737,0.3176491,0.549,0.435,1,"33","PNN"
0.0001490602,0.2992372,0.464,0.351,1,"33","RAB7A"
0.0001500158,0.3617928,0.35,0.252,1,"33","UPF2"
0.0001515529,0.460754,0.303,0.213,1,"33","STOML2"
0.0001557178,0.5510812,0.262,0.18,1,"33","PRKACA"
0.0001594729,0.4163172,0.328,0.232,1,"33","RAB11B"
0.0001624662,0.4275572,0.252,0.168,1,"33","PTPN2"
0.0001668151,0.4360991,0.271,0.185,1,"33","GDI1"
0.0001673223,0.7796878,0.435,0.383,1,"33","MAFB"
0.0001675728,0.2714396,0.413,0.302,1,"33","SSR1"
0.0001733888,1.241787,0.58,0.585,1,"33","GPX1"
0.00017668,0.3692676,0.341,0.243,1,"33","DGUOK"
0.0001769248,0.4246246,0.331,0.238,1,"33","METTL9"
0.0001827401,0.4500239,0.716,0.67,1,"33","DUSP1"
0.0001873361,0.2647608,0.599,0.479,1,"33","COPS9"
0.0001884579,0.4486979,0.281,0.194,1,"33","RPAIN"
0.0001959492,0.4637203,0.287,0.2,1,"33","UBE2V2"
0.0001964168,0.3369076,0.467,0.361,1,"33","RPS19BP1"
0.0001974344,0.3928958,0.36,0.264,1,"33","HAX1"
0.000206513,0.4748263,0.278,0.193,1,"33","MRPS7"
0.000216666,0.3897853,0.353,0.259,1,"33","HSD17B11"
0.0002197067,0.4157647,0.325,0.233,1,"33","CHD2"
0.0002249909,0.3319242,0.41,0.304,1,"33","ACAP2"
0.0002281864,0.3617151,0.328,0.234,1,"33","FBXW5"
0.0002294986,0.3884994,0.375,0.278,1,"33","MRPS18C"
0.0002326763,0.391507,0.401,0.306,1,"33","NHP2"
0.000247559,0.50073,0.268,0.187,1,"33","MRPS33"
0.0002567559,0.2914714,0.473,0.361,1,"33","PHIP"
0.0002601826,0.5453675,0.268,0.189,1,"33","DDB1"
0.0002687181,0.4216193,0.297,0.21,1,"33","BCAS2"
0.000282056,0.4849844,0.256,0.176,1,"33","SAFB2"
0.0002906344,0.3668673,0.3,0.211,1,"33","FRYL"
0.0002920341,0.3586788,0.681,0.587,1,"33","RPS27L"
0.0002937633,0.394669,0.281,0.195,1,"33","PURB"
0.0002991178,0.4039208,0.309,0.22,1,"33","COPZ1"
0.0003272366,0.4146385,0.467,0.394,1,"33","KCTD12"
0.000331403,0.4079176,0.297,0.21,1,"33","FNTA"
0.0003725245,0.3589629,0.457,0.359,1,"33","HIGD2A"
0.000385423,0.2783203,0.464,0.351,1,"33","WAC"
0.0003864378,0.3857421,0.256,0.174,1,"33","RNF114"
0.0004198142,0.5658438,0.262,0.187,1,"33","PSMC2"
0.0004381244,0.372449,0.341,0.25,1,"33","C1orf43"
0.0004419247,0.8490385,0.489,0.441,1,"33","BLVRB"
0.0004566386,0.4733537,0.262,0.184,1,"33","CSNK1D"
0.0004566477,0.5134915,0.262,0.185,1,"33","USP7"
0.0004568651,0.5007606,0.252,0.177,1,"33","CMTM3"
0.0004571905,0.3567052,0.312,0.225,1,"33","PDIA4"
0.0004622213,0.369435,0.328,0.238,1,"33","STMP1"
0.0004681272,0.2664339,0.505,0.392,1,"33","PPP1R10"
0.0004786111,0.4549955,0.297,0.215,1,"33","AIDA"
0.0004972355,0.3437996,0.341,0.25,1,"33","EIF6"
0.0005017665,0.2959126,0.388,0.29,1,"33","DDX6"
0.000508161,0.3789919,0.284,0.201,1,"33","EIF4E2"
0.0005115526,0.3998983,0.312,0.229,1,"33","FYN"
0.0005189411,0.4454591,0.259,0.181,1,"33","NOL8"
0.000529414,0.3487398,0.432,0.336,1,"33","SMARCA5"
0.0005581869,0.4842696,0.303,0.223,1,"33","ACIN1"
0.0005817595,0.5402322,0.609,0.603,1,"33","NPC2"
0.0005861631,0.3408539,0.435,0.346,1,"33","NDUFAB1"
0.0006003955,0.5054516,0.268,0.193,1,"33","OXA1L"
0.0006008188,0.3230159,0.369,0.277,1,"33","RSBN1L"
0.000627637,0.3746357,0.407,0.314,1,"33","ZBTB7A"
0.0006401934,0.3925981,0.278,0.197,1,"33","DEGS1"
